Year,Region,Revenue,D1,D2,T,D1T,D2T,Log_Revenue
2013,East_Africa,1366729,1,0,1,1,0,14.1279
2013,Europe,2086537,0,1,1,0,1,14.5510
2013,West_Africa,239152632,0,0,1,0,0,19.2926
2014,East_Africa,9666628,1,0,2,2,0,16.0842
2014,Europe,2281373,0,1,2,0,2,14.6403
2014,West_Africa,265161710,0,0,2,0,0,19.3959
2015,East_Africa,10577630,1,0,3,3,0,16.1743
2015,Europe,16720314,0,1,3,0,3,16.6321
2015,West_Africa,283191674,0,0,3,0,0,19.4616
2016,East_Africa,14174650,1,0,4,4,0,16.4670
2016,Europe,13667370,0,1,4,0,4,16.4305
2016,West_Africa,386773567,0,0,4,0,0,19.7733
2017,East_Africa,14388649,1,0,5,5,0,16.4820
2017,Europe,8290685,0,1,5,0,5,15.9306
2017,West_Africa,396546937,0,0,5,0,0,19.7983
2018,East_Africa,17595261,1,0,6,6,0,16.6831
2018,Europe,8160651,0,1,6,0,6,15.9148
2018,West_Africa,408943085,0,0,6,0,0,19.8291
2019,East_Africa,16709336,1,0,7,7,0,16.6315
2019,Europe,8266175,0,1,7,0,7,15.9277
2019,West_Africa,354331030,0,0,7,0,0,19.6857
2020,East_Africa,19187022,1,0,8,8,0,16.7697
2020,Europe,4797324,0,1,8,0,8,15.3836
2020,West_Africa,431245413,0,0,8,0,0,19.8822
2021,East_Africa,23503218,1,0,9,9,0,16.9726
2021,Europe,4760106,0,1,9,0,9,15.3758
2021,West_Africa,419547261,0,0,9,0,0,19.8547
2022,East_Africa,24808639,1,0,10,10,0,17.0267
2022,Europe,10334639,0,1,10,0,10,16.1510
2022,West_Africa,504090555,0,0,10,0,0,20.0383
2023,East_Africa,35526642,1,0,11,11,0,17.3858
2023,Europe,26835764,0,1,11,0,11,17.1052
2023,West_Africa,1124103019,0,0,11,0,0,20.8403
2024,East_Africa,86347509,1,0,12,12,0,18.2739
2024,Europe,66334551,0,1,12,0,12,18.0102
2024,West_Africa,1995655198,0,0,12,0,0,21.4142
